customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date
2,69.0,50200.0,252.2146926448812,Male,North,27.0,Toys,14.402035805169955,2022-03-14,2022-07-03
5,60.0,112300.0,1528.118234903052,Female,West,6.0,Clothing,28.89378505717169,2021-04-21,2021-06-02
6,25.0,62000.0,1024.023199639328,Male,West,5.0,Home & Garden,14.360272565471144,2021-11-18,2023-07-06
7,78.0,90500.0,1283.045711614864,Female,East,27.0,Home & Garden,48.22122817562094,2022-06-11,2023-02-01
8,38.0,81000.0,1970.645619079536,Male,East,8.0,Clothing,70.9528063576598,2021-06-26,2022-12-21
9,56.0,114300.0,1540.650761920155,Female,East,9.0,Clothing,61.2402908102972,2022-11-05,2023-05-30
10,75.0,83600.0,880.0357663196111,Female,West,15.0,Toys,95.11081820826126,2022-07-05,2022-11-13
11,36.0,56300.0,903.9550051571664,Male,North,36.0,Toys,81.77778839716281,2022-06-22,2023-02-08
14,28.0,109600.0,1011.4076331566092,Female,East,32.0,Home & Garden,32.727519333145004,2022-07-17,2022-08-24
16,70.0,103600.0,66.59433893991556,Female,West,47.0,Health,43.90530399513951,2021-04-08,2023-05-21
19,41.0,114500.0,275.76540158135856,Female,East,19.0,Toys,52.78742078895624,2021-06-19,2021-12-22
20,20.0,64900.0,217.1020953613748,Male,North,39.0,Health,59.42535671999188,2021-02-25,2022-07-25
21,39.0,30200.0,1214.3204879170416,Female,West,6.0,Toys,56.87856826541749,2021-11-21,2022-07-27
22,70.0,68400.0,1056.7290833621712,Male,South,19.0,Health,11.654836343355402,2022-10-20,2023-03-28
23,19.0,29900.0,522.0965516528111,Female,West,28.0,Health,56.99873195387431,2021-09-17,2023-12-30
25,61.0,84100.0,994.6199840611685,Female,North,42.0,Electronics,66.3714165451469,2022-07-16,2023-02-22
26,47.0,78000.0,406.1177812684593,Female,East,19.0,Clothing,42.93839966655334,2021-12-06,2023-06-28
27,55.0,48200.0,1311.1442625256682,Female,East,31.0,Clothing,84.87885877391554,2022-02-08,2023-08-02
28,19.0,112700.0,1566.220325644459,Female,East,11.0,Home & Garden,77.82657447937787,2022-06-16,2023-06-15
29,77.0,50000.0,1587.0978109612477,Male,South,15.0,Home & Garden,72.43820515166337,2021-06-23,2023-07-19
30,38.0,96300.0,1212.890264792841,Male,East,10.0,Clothing,70.07370993343022,2022-06-22,2022-09-29
32,29.0,67300.0,140.7941431506819,Male,West,23.0,Electronics,6.111357612834434,2021-01-10,2022-06-15
37,42.0,43900.0,320.51531150518207,Female,West,43.0,Clothing,92.90709148417106,2022-12-15,2023-12-04
38,66.0,37700.0,1781.3617042943745,Male,North,20.0,Electronics,24.94512669524324,2021-12-10,2022-06-08
40,76.0,55200.0,1536.3414976851216,Male,West,22.0,Electronics,96.30407827356228,2022-01-08,2022-01-30
42,45.0,116800.0,22.66561649399613,Male,South,39.0,Toys,1.4086412162869988,2021-02-15,2023-08-12
43,77.0,111100.0,768.6395241791525,Male,South,10.0,Toys,90.6107599861874,2022-12-30,2023-02-02
44,33.0,97400.0,303.92283262156724,Male,South,21.0,Clothing,22.664729883307032,2021-02-24,2022-03-19
45,32.0,71000.0,56.40456146016263,Female,West,29.0,Health,70.59325391660634,2021-03-19,2023-08-25
46,79.0,117700.0,938.8520450209191,Male,North,32.0,Home & Garden,55.30731073672155,2022-05-06,2023-06-11
51,61.0,98100.0,517.1386052570322,Male,South,23.0,Health,65.19126067329519,2021-04-21,2023-09-07
52,72.0,81600.0,1307.841992671251,Male,North,31.0,Health,29.057922890466227,2021-01-15,2022-04-07
53,69.0,106300.0,440.4212690880447,Female,West,4.0,Toys,97.39502076577608,2021-03-19,2022-12-10
57,68.0,55000.0,1993.880252806924,Male,West,2.0,Clothing,30.615929246613128,2021-10-02,2022-07-05
58,24.0,105700.0,383.235754277454,Male,West,4.0,Electronics,14.85874276214022,2022-05-09,2023-07-25
60,26.0,26000.0,834.5216513969269,Male,East,15.0,Health,96.4222278087278,2022-01-11,2023-09-05
61,56.0,107600.0,270.24511636322086,Male,West,33.0,Clothing,41.143057638713,2021-03-04,2022-10-23
62,35.0,37200.0,75.13093700327852,Female,South,6.0,Electronics,34.73337657310635,2021-12-27,2023-06-22
66,31.0,89600.0,975.7726766923304,Female,South,1.0,Electronics,84.96746181346077,2021-07-13,2023-02-09
70,43.0,115500.0,995.346030339192,Female,North,26.0,Toys,96.63334338056436,2021-10-28,2023-02-07
71,70.0,77900.0,1274.1552456794116,Male,West,44.0,Clothing,15.658137617896385,2022-07-22,2022-10-05
72,19.0,37000.0,1614.9413088805927,Female,South,12.0,Home & Garden,18.630961750245024,2022-11-03,2023-11-11
73,37.0,65900.0,807.8106676029056,Male,North,22.0,Home & Garden,92.68163539283984,2022-05-11,2022-08-13
74,45.0,78300.0,1615.8382237178157,Female,West,13.0,Home & Garden,70.56876464523825,2021-05-29,2021-12-28
78,61.0,42200.0,738.2521287903211,Male,West,30.0,Health,43.26715339176942,2021-12-01,2023-12-11
79,78.0,90200.0,1102.4587300267528,Male,West,44.0,Home & Garden,77.7901494487037,2022-11-30,2023-04-22
80,25.0,58800.0,1682.844297362907,Male,South,20.0,Clothing,55.39720545861272,2021-07-03,2023-02-24
82,52.0,75500.0,1604.4085684134866,Female,West,27.0,Electronics,32.68201322002092,2021-09-19,2022-05-07
83,31.0,69200.0,1728.7579112131093,Female,South,38.0,Health,16.1395917744793,2021-11-06,2023-09-12
84,34.0,97500.0,318.3612242616509,Female,North,42.0,Health,1.311667577348441,2021-12-10,2022-07-27
85,53.0,113000.0,1706.1567522223536,Female,North,41.0,Clothing,82.13123443293455,2022-02-28,2023-05-09
86,67.0,97900.0,1983.0780643287285,Female,South,34.0,Health,63.66545593457879,2022-10-19,2023-09-20
87,57.0,22500.0,1459.1408854755102,Male,East,39.0,Health,22.93212412876884,2022-05-29,2023-08-19
90,79.0,97000.0,1218.852876041372,Male,North,37.0,Health,53.87001860913857,2021-12-28,2023-08-28
91,23.0,113500.0,629.6150363921738,Male,West,1.0,Clothing,30.01598764459783,2021-06-18,2023-12-08
92,71.0,85000.0,1678.3110514705902,Male,East,15.0,Home & Garden,26.718451717068547,2022-10-22,2023-01-07
95,71.0,81400.0,522.1983999177958,Female,North,33.0,Electronics,58.186035068466246,2021-11-08,2023-10-04
100,51.0,57700.0,272.99381252418107,Female,West,33.0,Home & Garden,18.090248745791293,2021-12-17,2022-08-21
101,27.0,70500.0,895.8857355427892,Female,West,5.0,Clothing,46.19983427939485,2021-01-28,2021-06-06
102,79.0,64000.0,104.09042032793565,Male,West,18.0,Electronics,3.50712794785325,2022-09-24,2022-10-18
103,53.0,76900.0,1375.5598646446333,Male,North,48.0,Toys,79.17178815635283,2021-05-13,2023-09-30
104,31.0,48100.0,1807.3569106818047,Female,West,10.0,Clothing,88.37599988343821,2022-01-15,2023-03-09
106,65.0,99800.0,272.19155742680454,Male,East,33.0,Health,26.799502456360933,2022-06-12,2023-04-15
107,32.0,118700.0,270.0168514733091,Male,North,23.0,Home & Garden,12.315547398879056,2021-10-14,2023-08-10
108,25.0,44000.0,1630.600275002043,Male,East,40.0,Home & Garden,38.214418791988834,2021-10-11,2021-12-23
109,31.0,75600.0,1850.0234637141696,Male,East,5.0,Health,83.33356205052533,2022-10-11,2022-12-18
110,40.0,102600.0,932.1262630703084,Female,West,34.0,Toys,34.78278037861146,2021-08-15,2021-12-28
112,74.0,34600.0,650.1588419437372,Female,North,17.0,Electronics,27.42803762251319,2021-01-27,2022-04-17
115,38.0,78100.0,590.7381227913896,Male,West,17.0,Clothing,90.0854829977128,2021-03-30,2022-11-05
117,62.0,78800.0,1784.5761446659328,Female,South,38.0,Clothing,53.970551532663066,2021-05-02,2022-04-19
118,35.0,63600.0,46.99536733352651,Female,West,22.0,Home & Garden,14.86888723949803,2021-02-02,2022-09-06
119,64.0,43400.0,658.9986139987441,Female,South,15.0,Clothing,34.86444783557177,2022-08-26,2022-11-20
120,70.0,114000.0,1117.6262288084108,Male,North,37.0,Health,58.37402252742222,2022-11-27,2023-06-17
122,43.0,105500.0,202.35553331518776,Female,East,25.0,Toys,26.867504586489964,2022-06-09,2022-12-11
123,42.0,33100.0,1634.2471355593088,Female,West,21.0,Clothing,12.122686934022951,2021-01-24,2023-08-23
124,77.0,84100.0,1790.9206895240443,Female,West,38.0,Clothing,55.88323175548175,2021-11-21,2023-05-21
125,77.0,75800.0,1650.7407131804152,Male,North,2.0,Toys,17.650122251805566,2021-02-03,2022-10-11
126,77.0,44900.0,1799.6000216799484,Female,South,27.0,Toys,61.03617693219066,2021-09-04,2021-12-15
127,62.0,68700.0,1115.1617026955755,Female,West,49.0,Health,26.3521442483732,2021-01-19,2022-04-08
128,58.0,64700.0,1628.2710795608768,Female,East,32.0,Health,23.096300430062467,2021-01-30,2023-06-04
129,46.0,111600.0,780.4044240143788,Female,North,21.0,Clothing,39.91807649888911,2021-02-18,2021-09-03
130,32.0,66500.0,1339.2103657284963,Female,North,4.0,Health,59.31917575579458,2021-06-29,2023-03-09
131,62.0,40600.0,1977.8943521505455,Female,South,44.0,Health,54.5317672949313,2022-01-05,2023-05-20
132,18.0,49800.0,466.9408932014723,Male,West,19.0,Clothing,24.47344772349805,2022-01-30,2023-12-27
133,42.0,77900.0,792.0014976563396,Female,West,2.0,Toys,89.11166744533762,2022-08-13,2023-12-10
134,24.0,23800.0,970.4938070739696,Male,North,26.0,Clothing,10.988196973520104,2022-05-11,2023-03-27
135,26.0,47100.0,293.27066429970245,Male,East,34.0,Electronics,3.94675630743353,2022-03-07,2022-05-30
136,41.0,87300.0,180.45644872081243,Female,West,14.0,Clothing,60.27062694061976,2021-07-26,2021-08-14
137,18.0,87000.0,1662.8512753168163,Male,East,15.0,Electronics,12.340716806547649,2021-02-04,2022-08-01
141,28.0,104000.0,150.30728616734143,Male,North,19.0,Clothing,61.74565803977604,2021-11-06,2022-04-28
142,68.0,102000.0,1784.8100485933917,Male,East,9.0,Health,57.48052248722807,2021-10-06,2023-03-19
143,34.0,71700.0,938.3522144608064,Female,West,7.0,Home & Garden,17.953925219959277,2021-06-01,2021-10-01
145,52.0,26000.0,963.393317054011,Male,East,13.0,Electronics,34.25235073667625,2021-08-31,2023-11-09
146,52.0,29500.0,650.2421074908477,Male,South,27.0,Clothing,95.30743222220627,2021-01-10,2021-12-11
147,50.0,76500.0,988.2908351090877,Male,West,44.0,Clothing,24.2320231370725,2022-01-27,2023-01-05
148,76.0,49900.0,1721.921665897515,Male,South,35.0,Clothing,47.15163713960514,2021-02-17,2022-07-23
150,59.0,61400.0,1395.4144701641471,Male,South,15.0,Home & Garden,78.9180652439315,2021-07-23,2022-10-07
151,56.0,85100.0,742.0479389439864,Male,East,46.0,Toys,96.45152392844231,2021-06-06,2021-12-04
152,75.0,42700.0,1482.241639450827,Female,East,9.0,Electronics,60.8330255146991,2021-01-26,2022-03-28
154,45.0,111400.0,256.7327555490717,Female,North,23.0,Health,82.66497754640591,2022-11-09,2022-12-18
155,24.0,69700.0,1153.8328491688576,Male,West,36.0,Toys,29.14562713733706,2021-09-21,2022-09-23
156,26.0,102400.0,528.3521226933208,Male,South,40.0,Toys,16.47728019118859,2022-06-13,2023-02-04
158,29.0,83000.0,863.3566627645401,Male,East,34.0,Home & Garden,63.89556635343594,2022-04-15,2023-01-07
159,51.0,41800.0,1989.4746470890443,Female,South,19.0,Health,87.89489025953954,2021-09-11,2022-10-22
163,40.0,54200.0,1539.6476845695968,Male,East,49.0,Toys,66.45134329822682,2021-11-22,2023-07-27
165,41.0,100200.0,994.2678889771532,Female,East,7.0,Toys,98.19287243501763,2021-04-28,2023-04-02
166,54.0,99600.0,1597.0868690529426,Female,West,41.0,Home & Garden,37.46612995126337,2021-06-14,2023-11-19
170,39.0,87700.0,1056.6558874691143,Male,North,15.0,Clothing,59.82018957938588,2022-01-09,2022-07-08
171,44.0,57900.0,578.879691417607,Female,West,3.0,Electronics,38.98947642129998,2022-08-01,2023-07-22
175,54.0,30900.0,1310.763713813672,Female,North,8.0,Toys,69.30751129704869,2022-02-18,2022-04-12
176,64.0,55900.0,1668.1860231523003,Male,West,5.0,Toys,1.4328455452302102,2022-01-15,2022-10-15
177,31.0,46900.0,1951.436596061763,Female,West,4.0,Electronics,32.4647390003876,2021-01-01,2022-09-10
178,20.0,83500.0,958.8453066185332,Male,North,14.0,Clothing,31.904403135366262,2021-06-16,2023-02-19
179,18.0,34000.0,152.05388518278872,Male,South,16.0,Toys,74.8835285896717,2021-01-16,2022-04-03
181,43.0,60400.0,605.4167777578059,Male,South,24.0,Clothing,63.3327132365083,2021-04-22,2022-10-25
182,72.0,109500.0,1866.4382869178528,Female,South,6.0,Electronics,68.85244021078648,2022-01-03,2023-08-19
183,31.0,35400.0,1055.9618488423323,Female,East,31.0,Toys,65.84255441971152,2021-04-12,2021-06-29
185,44.0,109900.0,810.3502531318187,Male,West,35.0,Electronics,41.36168493493947,2022-02-10,2022-06-11
188,32.0,32100.0,324.76062937015195,Female,North,3.0,Clothing,6.370310248432631,2022-11-02,2023-02-02
189,43.0,43800.0,1954.5227195594484,Male,North,11.0,Toys,87.58198420515261,2021-02-09,2023-07-11
190,59.0,102700.0,1098.6490094259218,Male,West,3.0,Health,82.53151430303431,2022-10-29,2023-11-11
191,77.0,29600.0,288.662869228713,Male,East,28.0,Electronics,34.63847170371896,2022-07-02,2023-01-15
193,68.0,86600.0,167.78409353726903,Male,West,33.0,Health,93.22276981844632,2022-05-31,2022-09-29
194,49.0,43800.0,1817.3161576914752,Female,East,48.0,Health,27.163679741209663,2022-05-12,2023-10-21
198,78.0,22100.0,687.8596162056231,Male,North,36.0,Home & Garden,88.39691294472976,2022-06-08,2023-06-25
201,47.0,112200.0,1470.1291242631587,Male,South,12.0,Clothing,90.7639293309544,2021-11-15,2022-03-15
203,40.0,81700.0,1950.8563524315064,Female,East,13.0,Home & Garden,69.58696802242656,2022-08-17,2022-12-22
